Entity,Year,Fossil by continent
Argentina,2015,869.6484375
Argentina,2016,869.5829468
Argentina,2017,866.4227295
Argentina,2018,853.9412231
Argentina,2019,798.4356689
Argentina,2020,746.704834
Argentina,2021,818.2005615
Asia,1965,4931.344238
Asia,1966,5368.138672
Asia,1967,5671.927246
Asia,1968,6107.160156
Asia,1969,6985.210449
Asia,1970,7954.409668
Asia,1971,8727
Asia,1972,9286.292969
Asia,1973,10143.76367
Asia,1974,10291.66016
Asia,1975,10629.58203
Asia,1976,11240.69629
Asia,1977,12061.86719
Asia,1978,12829.60938
Asia,1979,13499.38965
Asia,1980,13439.67871
Asia,1981,13579.96484
Asia,1982,13846.43555
Asia,1983,14547.78125
Asia,1984,15722.47168
Asia,1985,18350.46875
Asia,1986,19134.83008
Asia,1987,20168.52539
Asia,1988,21585.90625
Asia,1989,22651.14453
Asia,1990,23516.61328
Asia,1991,24450.37891
Asia,1992,25617.26758
Asia,1993,26534.96484
Asia,1994,27969.78125
Asia,1995,29065.16602
Asia,1996,30411.01953
Asia,1997,31292.38867
Asia,1998,31196.66602
Asia,1999,32323.13281
Asia,2000,33615.44531
Asia,2001,34747.94531
Asia,2002,36552.87891
Asia,2003,39780.01953
Asia,2004,43396.71094
Asia,2005,46756.41797
Asia,2006,49395.62891
Asia,2007,52638.24219
Asia,2008,54180.97266
Asia,2009,55469.3125
Asia,2010,58819.38672
Asia,2011,62319.46875
Asia,2012,64566.28516
Asia,2013,65907.22656
Asia,2014,67385.67188
Asia,2015,68363.08594
Asia,2016,69516.92969
Asia,2017,71324.49219
Asia,2018,73420.65625
Asia,2019,74479.28906
Asia,2020,72830.75781
Asia,2021,76744.6875
Asia Pacific (BP),1965,4769.230957
Asia Pacific (BP),1966,5196.57959
Asia Pacific (BP),1967,5492.318359
Asia Pacific (BP),1968,5907.353027
Asia Pacific (BP),1969,6759.128906
Asia Pacific (BP),1970,7725.746094
Asia Pacific (BP),1971,8453.042969
Asia Pacific (BP),1972,8971.075195
Asia Pacific (BP),1973,9762.990234
Asia Pacific (BP),1974,9890.896484
Asia Pacific (BP),1975,10226.45801
Asia Pacific (BP),1976,10731.42969
Asia Pacific (BP),1977,11425.76758
Asia Pacific (BP),1978,12136.52148
Asia Pacific (BP),1979,12631.82715
Asia Pacific (BP),1980,12614.72754
Asia Pacific (BP),1981,12641.37402
Asia Pacific (BP),1982,12721.05371
Asia Pacific (BP),1983,13206.9668
Asia Pacific (BP),1984,14149.16406
Asia Pacific (BP),1985,14742.99316
Asia Pacific (BP),1986,15345.16309
Asia Pacific (BP),1987,16190.95313
Asia Pacific (BP),1988,17439.22266
Asia Pacific (BP),1989,18340.93164
Asia Pacific (BP),1990,19099.30469
Asia Pacific (BP),1991,19976.2207
Asia Pacific (BP),1992,21002.92773
Asia Pacific (BP),1993,22013.21875
Asia Pacific (BP),1994,23248.89063
Asia Pacific (BP),1995,24336.04102
Asia Pacific (BP),1996,25582.1582
Asia Pacific (BP),1997,26352.55859
Asia Pacific (BP),1998,26148.71875
Asia Pacific (BP),1999,27211.76758
Asia Pacific (BP),2000,28257.86133
Asia Pacific (BP),2001,29144.48047
Asia Pacific (BP),2002,30663.75586
Asia Pacific (BP),2003,33601.16016
Asia Pacific (BP),2004,36724.69922
Asia Pacific (BP),2005,39699.40625
Asia Pacific (BP),2006,41992.82813
Asia Pacific (BP),2007,44759.09375
Asia Pacific (BP),2008,45763.35547
Asia Pacific (BP),2009,46859.14063
Asia Pacific (BP),2010,49651.33984
Asia Pacific (BP),2011,52579.27344
Asia Pacific (BP),2012,54360.23828
Asia Pacific (BP),2013,55516.40625
Asia Pacific (BP),2014,56539.24219
Asia Pacific (BP),2015,57220.26172
Asia Pacific (BP),2016,58033.40625
Asia Pacific (BP),2017,59525.71484
Asia Pacific (BP),2018,61325.96094
Asia Pacific (BP),2019,62380.73047
Asia Pacific (BP),2020,60972.39063
Asia Pacific (BP),2021,64258.60156
Australia,1965,402.0765991
Australia,1966,423.475708
Australia,1967,449.677063
Australia,1968,477.2839966
Australia,1969,495.8523865
Australia,1970,539.1937866
Australia,1971,563.9406738
Australia,1972,591.038147
Australia,1973,631.9478149
Australia,1974,669.5065308
Australia,1975,678.3161011
Australia,1976,705.6903687
Australia,1977,744.5496826
Australia,1978,766.5330811
Australia,1979,797.831604
Australia,1980,803.1973877
Australia,1981,815.5015869
Australia,1982,810.510498
Australia,1983,783.7138672
Australia,1984,812.1989746
Australia,1985,834.892334
Australia,1986,851.9624634
Australia,1987,879.4255981
Australia,1988,918.7304077
Australia,1989,967.3500977
Australia,1990,986.991272
Australia,1991,976.7056885
Australia,1992,992.8748169
Australia,1993,1013.434204
Australia,1994,1055.419556
Australia,1995,1105.359863
Australia,1996,1137.800293
Australia,1997,1166.821167
Australia,1998,1196.006714
Australia,1999,1245.337524
Australia,2000,1253.194336
Australia,2001,1264.469727
Australia,2002,1288.995117
Australia,2003,1306.224121
